lam_inverse_MW,E(lam-V)/E(B-V)_MW,lam_inverse_LMC,E(lam-V)/E(B-V)_LMC,lam_inverse_SMC,E(lam-V)/E(B-V)_SMC
0.21,-3.02,0.45,-2.92,0.45,-2.61
0.29,-2.91,0.61,-2.59,0.61,-2.47
0.45,-2.76,0.8,-2.22,0.8,-2.12
0.61,-2.58,1.82,0,1.82,0
0.8,-2.23,2.27,1,2.27,1
1.11,-1.6,2.7,1.7,2.7,1.67
1.43,-0.78,2.9,2.06,3.22,2.29
1.82,0,3.23,2.66,3.34,2.65
2.27,1,3.33,2.78,3.46,3
2.5,1.3,3.45,2.94,3.6,3.15
2.91,1.8,3.57,3.21,3.75,3.49
3.65,3.1,3.7,3.44,3.92,3.91
4,4.19,3.85,3.82,4.09,4.24
4.17,4.9,4,4.08,4.28,4.53
4.35,5.77,4.17,4.53,4.5,5.3
4.57,6.57,4.35,5.2,4.73,5.85
4.76,6.23,4.44,5.65,5,6.38
5,5.52,4.55,5.95,5.24,6.76
5.26,4.9,4.65,6.05,5.38,6.9
5.56,4.65,4.76,5.98,5.52,7.17
5.88,4.6,5,5.95,5.7,7.71
6.25,4.73,5.26,5.94,5.88,8.01
6.71,4.99,5.56,6.19,6.07,8.49
7.18,5.36,5.88,6.56,6.27,9.06
7.6,5.91,6.25,7.07,6.48,9.28
8,6.55,6.67,7.77,6.72,9.84
8.5,7.45,7.14,8.55,6.98,10.8
9,8.45,7.41,9,7.23,11.51
9.5,9.8,7.69,9.63,7.52,12.52
10,11.3,8,10.33,7.84,13.54
