name,t,ndflag,mag,magerr,filter,obs
040924 , 0.754109,>,21.20,    ,B   ,SMARTS    
040924 , 0.754109,>,20.80,    ,V   ,SMARTS    
040924 , 0.373410, ,21.76,0.09,R_C_,RTT150    
040924 , 0.390927, ,21.96,0.10,R_C_,RTT150    
040924 , 0.406554, ,22.06,0.11,R_C_,RTT150    
040924 , 0.422177, ,21.93,0.09,R_C_,RTT150    
040924 , 0.439080, ,22.05,0.10,R_C_,RTT150    
040924 , 0.454699, ,22.12,0.10,R_C_,RTT150    
040924 , 0.470325, ,22.16,0.09,R_C_,RTT150    
040924 , 0.485950, ,22.03,0.08,R_C_,RTT150    
040924 , 0.501575, ,22.27,0.09,R_C_,RTT150    
040924 , 0.517200, ,22.40,0.10,R_C_,RTT150    
040924 , 0.532824, ,22.35,0.10,R_C_,RTT150    
040924 , 0.548449, ,22.53,0.12,R_C_,RTT150    
040924 , 0.564073, ,22.45,0.11,R_C_,RTT150    
040924 , 0.579696, ,22.26,0.10,R_C_,RTT150    
040924 , 0.595326, ,22.31,0.09,R_C_,RTT150    
040924 , 0.610963, ,22.43,0.16,R_C_,RTT150    
040924 , 0.754109,>,21.10,    ,R_C_,SMARTS    
040924 , 1.498760, ,23.47,0.21,R_C_,RTT150    
040924 , 2.700000, ,23.80,0.67,R_C_,RTT150    
040924 , 0.754109,>,20.30,    ,I_C_,SMARTS    
040924 , 0.754109,>,18.30,    ,J   ,SMARTS    
040924 , 0.754109,>,17.40,    ,J   ,SMARTS    
040924 , 0.754109,>,19.80,    ,K   ,SMARTS    
041006 , 0.162080, ,19.93,0.03,B   ,Maidanak  
041006 , 0.175120, ,20.08,0.03,B   ,Maidanak  
041006 , 1.182500,>,20.00,    ,B   ,Maidanak  
041006 , 0.158010, ,19.78,0.04,V   ,Maidanak  
041006 , 0.165840, ,19.74,0.05,V   ,Maidanak  
041006 , 0.179050, ,19.75,0.05,V   ,Maidanak  
041006 , 1.186460,>,21.00,    ,V   ,Maidanak  
041006 , 0.147850, ,19.23,0.05,R_C_,Maidanak  
041006 , 0.151600, ,19.23,0.05,R_C_,Maidanak  
