E(lam-V)/E(B-V)_MW,lam_inverse_LMC,E(lam-V)/E(B-V)_LMC,lam_inverse_SMC,E(lam-V)/E(B-V)_SMC,lam_inverse_MW,Rv_MW,Rv_LMC,Rv_SMC,eta_MW,lam_MW,nu_MW,eta_LMC,lam_LMC,nu_LMC,eta_SMC,lam_SMC,nu_SMC
-3.02,0.45,-2.92,0.45,-2.61,0.21,3.08,3.16,2.93,0.014705882352941188,4.761904761904762,62956416180000.0,0.057692307692307744,2.2222222222222223,134906606100000.0,0.08142493638676852,2.2222222222222223,134906606100000.0
-2.91,0.61,-2.59,0.61,-2.47,0.29,3.08,3.16,2.93,0.04166666666666665,3.4482758620689657,86939812820000.0,0.13701923076923084,1.639344262295082,182873399380000.0,0.11704834605597964,1.639344262295082,182873399380000.0
-2.76,0.8,-2.22,0.8,-2.12,0.45,3.08,3.16,2.93,0.07843137254901968,2.2222222222222223,134906606100000.0,0.22596153846153844,1.25,239833966400000.0,0.20610687022900764,1.25,239833966400000.0
-2.58,1.82,0.0,1.82,0.0,0.61,3.08,3.16,2.93,0.12254901960784313,1.639344262295082,182873399380000.0,0.7596153846153846,0.5494505494505494,545622273560000.06,0.7455470737913487,0.5494505494505494,545622273560000.06
-2.23,2.27,1.0,2.27,1.0,0.8,3.08,3.16,2.93,0.20833333333333334,1.25,239833966400000.0,1.0,0.44052863436123346,680528879660000.0,1.0,0.44052863436123346,680528879660000.0
-1.6,2.7,1.7,2.7,1.67,1.11,3.08,3.16,2.93,0.3627450980392157,0.9009009009009008,332769628380000.06,1.1682692307692308,0.37037037037037035,809439636600000.0,1.1704834605597962,0.37037037037037035,809439636600000.0
-0.78,2.9,2.06,3.22,2.29,1.43,3.08,3.16,2.93,0.5637254901960784,0.6993006993006994,428703214939999.94,1.2548076923076925,0.3448275862068966,869398128200000.0,1.3282442748091605,0.3105590062111801,965331714760000.1
0.0,3.23,2.66,3.34,2.65,1.82,3.08,3.16,2.93,0.7549019607843137,0.5494505494505494,545622273560000.06,1.3990384615384615,0.30959752321981426,968329639339999.9,1.4198473282442747,0.29940119760479045,1001306809719999.9
1.0,3.33,2.78,3.46,3.0,2.27,3.08,3.16,2.93,1.0,0.44052863436123346,680528879660000.0,1.4278846153846152,0.3003003003003003,998308885140000.0,1.5089058524173027,0.28901734104046245,1037281904679999.9
1.3,3.45,2.94,3.6,3.15,2.5,3.08,3.16,2.93,1.0735294117647058,0.4,749481145000000.0,1.4663461538461537,0.2898550724637681,1034283980100000.0,1.5470737913486006,0.2777777777777778,1079252848800000.0
1.8,3.57,3.21,3.75,3.49,2.91,3.08,3.16,2.93,1.196078431372549,0.3436426116838488,872396052780000.0,1.53125,0.2801120448179272,1070259075060000.0,1.6335877862595418,0.26666666666666666,1124221717500000.0
3.1,3.7,3.44,3.92,3.91,3.65,3.08,3.16,2.93,1.5147058823529411,0.273972602739726,1094242471700000.0,1.5865384615384615,0.27027027027027023,1109232094600000.1,1.7404580152671754,0.25510204081632654,1175186435360000.0
4.19,3.85,3.82,4.09,4.24,4.0,3.08,3.16,2.93,1.7818627450980393,0.25,1199169832000000.0,1.6778846153846154,0.2597402597402597,1154200963300000.0,1.8244274809160304,0.24449877750611249,1226151153220000.0
4.9,4.0,4.08,4.28,4.53,4.17,3.08,3.16,2.93,1.9558823529411766,0.23980815347721823,1250134549860000.0,1.7403846153846154,0.25,1199169832000000.0,1.8982188295165396,0.2336448598130841,1283111720240000.0
5.77,4.17,4.53,4.5,5.3,4.35,3.08,3.16,2.93,2.1691176470588234,0.2298850574712644,1304097192299999.8,1.8485576923076923,0.23980815347721823,1250134549860000.0,2.094147582697201,0.2222222222222222,1349066061000000.0
6.57,4.35,5.2,4.73,5.85,4.57,3.08,3.16,2.93,2.3651960784313726,0.2188183807439825,1370051533060000.0,2.0096153846153846,0.2298850574712644,1304097192299999.8,2.234096692111959,0.2114164904862579,1418018326340000.2
6.23,4.44,5.65,5.0,6.38,4.76,3.08,3.16,2.93,2.281862745098039,0.21008403361344538,1427012100080000.0,2.1177884615384617,0.2252252252252252,1331078513520000.2,2.3689567430025447,0.2,1498962290000000.0
5.52,4.55,5.95,5.24,6.76,5.0,3.08,3.16,2.93,2.107843137254902,0.2,1498962290000000.0,2.189903846153846,0.21978021978021978,1364055683900000.0,2.465648854961832,0.19083969465648853,1570912479920000.2
4.9,4.65,6.05,5.38,6.9,5.26,3.08,3.16,2.93,1.9558823529411766,0.19011406844106465,1576908329079999.8,2.213942307692308,0.2150537634408602,1394034929700000.2,2.501272264631043,0.1858736059479554,1612883424039999.8
4.65,4.76,5.98,5.52,7.17,5.56,3.08,3.16,2.93,1.894607843137255,0.1798561151079137,1666846066479999.8,2.1971153846153846,0.21008403361344538,1427012100080000.0,2.569974554707379,0.1811594202898551,1654854368159999.8
4.6,5.0,5.95,5.7,7.71,5.88,3.08,3.16,2.93,1.8823529411764706,0.17006802721088435,1762779653040000.0,2.189903846153846,0.2,1498962290000000.0,2.707379134860051,0.17543859649122806,1708817010600000.0
4.73,5.26,5.94,5.88,8.01,6.25,3.08,3.16,2.93,1.9142156862745099,0.16,1873702862500000.0,2.1875000000000004,0.19011406844106465,1576908329079999.8,2.783715012722646,0.17006802721088435,1762779653040000.0
4.99,5.56,6.19,6.07,8.49,6.71,3.08,3.16,2.93,1.9779411764705883,0.14903129657228018,2011607393180000.0,2.247596153846154,0.1798561151079137,1666846066479999.8,2.905852417302799,0.16474464579901152,1819740220060000.2
5.36,5.88,6.56,6.27,9.06,7.18,3.08,3.16,2.93,2.0686274509803924,0.1392757660167131,2152509848440000.0,2.3365384615384612,0.17006802721088435,1762779653040000.0,3.05089058524173,0.1594896331738437,1879698711660000.0
5.91,6.25,7.07,6.48,9.28,7.6,3.08,3.16,2.93,2.2034313725490198,0.13157894736842105,2278422680800000.0,2.4591346153846154,0.16,1873702862500000.0,3.106870229007633,0.15432098765432098,1942655127840000.0
6.55,6.67,7.77,6.72,9.84,8.0,3.08,3.16,2.93,2.3602941176470584,0.125,2398339664000000.0,2.627403846153846,0.14992503748125938,1999615694860000.0,3.2493638676844783,0.1488095238095238,2014605317760000.0
7.45,7.14,8.55,6.98,10.8,8.5,3.08,3.16,2.93,2.5808823529411766,0.11764705882352941,2548235893000000.0,2.8149038461538463,0.1400560224089636,2140518150120000.0,3.4936386768447836,0.14326647564469913,2092551356840000.2
8.45,7.41,9.0,7.23,11.51,9.0,3.08,3.16,2.93,2.8259803921568625,0.1111111111111111,2698132122000000.0,2.923076923076923,0.1349527665317139,2221462113780000.0,3.674300254452926,0.1383125864453665,2167499471340000.2
9.8,7.69,9.63,7.52,12.52,9.5,3.08,3.16,2.93,3.1568627450980395,0.10526315789473684,2848028351000000.0,3.074519230769231,0.13003901170351104,2305404002020000.5,3.9312977099236637,0.13297872340425532,2254439284160000.0
11.3,8.0,10.33,7.84,13.54,10.0,3.08,3.16,2.93,3.5245098039215685,0.1,2997924580000000.0,3.2427884615384617,0.125,2398339664000000.0,4.190839694656488,0.12755102040816327,2350372870720000.0
